"id","item_id","order","size","has_derivative_image","authentication","mime_type","type_os","filename","original_filename","modified","added","stored","metadata"
"74","74",NULL,"233215","1","f848ad8d5536103cce846d5c167f3bd6","application/pdf","PDF document, version 1.6","e8fad6d9d86e38a443ad1e7d62723da7.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_018.pdf","2017-12-29 19:36:53","2017-04-17 21:03:37","1","{""mime_type"":""application\/pdf""}"
"75","75",NULL,"192025","1","06c3e4e352b17a5de76038d9a8ef7878","application/pdf","PDF document, version 1.6","29c2bdaf195dea4259eccb0afaf28222.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_019.pdf","2017-12-29 19:36:53","2017-04-17 21:03:39","1","{""mime_type"":""application\/pdf""}"
"76","76",NULL,"134696","1","6e51335a7e454b365f4fa1868781261b","application/pdf","PDF document, version 1.6","e2637dd22a8be65305bb1033ca431e73.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_020.pdf","2017-12-29 19:36:53","2017-04-17 21:03:41","1","{""mime_type"":""application\/pdf""}"
"77","77",NULL,"259035","1","9186632bccf689d8741a9b29f8a9d35a","application/pdf","PDF document, version 1.6","4c9fcf486644b075dcf2c6537a70f8bb.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_021.pdf","2017-12-29 19:36:53","2017-04-17 21:03:42","1","{""mime_type"":""application\/pdf""}"
"78","78",NULL,"344379","1","7c90e0422129bc52012e87433d871892","application/pdf","PDF document, version 1.6","357bd1c1c0124b3620b882f890be042c.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_022.pdf","2017-12-29 19:36:54","2017-04-17 21:03:44","1","{""mime_type"":""application\/pdf""}"
"79","79",NULL,"154307","1","1e8b74e0ed7b5acf768499862647e49a","application/pdf","PDF document, version 1.6","22170889b4a4e506e82ebe017dd37134.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_023.pdf","2017-12-29 19:36:54","2017-04-17 21:03:45","1","{""mime_type"":""application\/pdf""}"
"80","80",NULL,"421800","1","4467bf215b81403a66beee989f84b1c0","application/pdf","PDF document, version 1.6","632e6a79729c82f53d1f60df7beb3956.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_024.pdf","2017-12-29 19:36:54","2017-04-17 21:03:47","1","{""mime_type"":""application\/pdf""}"
"81","81",NULL,"176230","1","d750d893c5c969b307d7f78a517d76fe","application/pdf","PDF document, version 1.6","bc800cd49f37db9bad4f623556c7fc29.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_025.pdf","2017-12-29 19:36:54","2017-04-17 21:03:48","1","{""mime_type"":""application\/pdf""}"
"82","82",NULL,"80670","1","c049930ced71460bbb6cdd3921122e80","application/pdf","PDF document, version 1.6","2a8f16ea3a11bb76575f15922fcc2e58.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_026.pdf","2017-12-29 19:36:55","2017-04-17 21:03:50","1","{""mime_type"":""application\/pdf""}"
"83","83",NULL,"355550","1","5a05c9289cc440cb77719ebd234163ed","application/pdf","PDF document, version 1.6","fa73a953e53835a788288b53ec0d091f.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_027.pdf","2017-12-29 19:36:55","2017-04-17 21:03:51","1","{""mime_type"":""application\/pdf""}"
"84","84",NULL,"736638","1","8c9df7657c0fa29049ff123cee1fdfae","application/pdf","PDF document, version 1.6","ef3e8f932127593f8db4e0af95ddaa77.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_028.pdf","2017-12-29 19:36:55","2017-04-17 21:03:52","1","{""mime_type"":""application\/pdf""}"
